Domain,Sub domain,Intent,Answer Format,value,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,y_hat
About Business Component,Selection,Multi_selection_companies,You can select multiple companies in one go and we will help you deduplicates the required information to save your time.,Am I permitted to select more than one company?,-5.5883417,-5.1236763,-5.6407256,-5.4519877,-5.5085287,-5.96154,-4.744831,-5.3791847,-5.1650596,-5.244826,-6.3552666,-5.7383833,-6.0105257,-5.7529407,-6.5965853,-5.863493,-5.104699,-6.0489693,-4.909176,-5.505431,-6.32708,-6.150771,-4.6793003,-5.499909,-5.441884,-5.8795023,-5.428409,-4.254681,-5.25009,-5.329191,-5.226134,-5.3430023,-5.1248136,-5.6682906,-3.6952536,-5.5871944,-5.4478283,-6.268386,-4.7804837,-4.7755027,-4.6642976,-4.184581,-4.1759586,-4.445528,-4.7235007,-5.2528853,-5.0313706,-5.215852,-5.9228888,-4.636513,-3.9767015,1.0688275,-4.781891,-5.482616,-4.7348347,-5.787288,-5.2501073,-5.6095963,-5.76348,-4.6139884,-4.159096,-4.909301,-4.6905584,-5.176832,-4.257208,-5.4348426,-4.9612045,-5.4190984,-4.5233884,-4.550308,-5.0095477,-5.29379,-5.2697663,-4.518688,51
About Business Component,Selection,Form_outdated,"We periodically use our AI technology, ""Form recognizer"" , to ensure they are always up-to-date. Please kindly report the problem to XXXX@filleasy.com",Your form is being over-the-country.,-4.688933,-5.066953,-5.1842117,-4.7858377,-5.084701,-5.849362,-5.6739893,-5.8012238,-5.5067763,-4.7194853,-5.218764,-5.8830776,-5.4229064,-5.3978124,-5.2724123,-6.1535697,-4.791049,-5.802482,-4.331503,-5.478069,-5.949824,-5.3824515,-5.1550612,-4.7585735,-5.1338425,-5.446259,-5.4890504,-4.524487,-4.2227063,-3.8567386,-4.568652,-5.3211646,-4.978448,-5.203688,-3.5841146,-5.32811,-5.6961412,-6.066927,-5.899492,-5.098787,-5.559632,-4.7141376,-3.8625736,-4.4320345,-4.6575656,-4.5625873,-3.6857667,-4.7191586,-5.619672,-4.4631853,-4.2163515,-4.598831,-5.1291275,-5.319551,-4.627567,-5.701952,-5.294995,-5.824223,-5.4417505,-3.991584,-4.408816,-4.458527,-3.9682264,-5.1614175,-5.2475586,-6.331038,-4.8597097,-3.4613035,1.0365838,-5.254412,-4.405197,-6.084945,-5.628309,-5.7119875,68
About Business Component,Overall,Flow_summary,"Click ""start"" -> select your require function and companies -> fill all the field come out -> press ""submit"" -> press ""using iAM Smart"" -> sign the form with iam Smart digital signature -> submit the form",But what do I do to work?,-4.83066,-5.3870764,-3.8064942,-5.10109,-4.673525,-4.256267,-5.45908,-5.380393,-5.42532,-6.575848,-5.218406,-4.5886736,-4.2111254,-5.173683,-4.535022,-5.455284,-3.825374,-4.37729,-5.5648847,-4.8593707,-5.149451,-4.3383512,-5.3030086,-5.2807536,-4.7077427,0.50319624,-4.6760592,-6.054206,-5.944446,-5.495265,-4.2995768,-3.9006846,-4.9578767,-3.8489952,-5.5748315,-5.015252,-4.170045,-4.771922,-4.0929046,-6.0616856,-5.5174203,-4.722236,-5.6763983,-5.518878,-6.0310335,-4.7620773,-4.9287696,-5.1937222,-3.3710344,-5.584447,-5.5194135,-6.1025853,-4.8866115,-3.3637178,-5.8230805,-5.1867304,-5.2156124,-4.7512803,-3.4749835,-5.31263,-5.847836,-6.3307767,-5.297059,-4.9611263,-4.3501253,-4.3105764,-5.0543585,-5.8534055,-5.230885,-5.598334,-6.527985,-4.865476,-5.363562,-4.1265616,25
About Techology,AI Techology,AI_definition,AI is mud mud mud,Are they reliable?,-4.486194,-4.644748,-5.0125155,-5.052692,-4.1040287,-4.3719125,-4.8810763,-5.1190076,-4.667567,-5.884196,-5.221081,-4.2123795,-3.6018684,-5.3435273,-5.1517987,-5.919468,-5.6295,-4.8630276,-5.217972,-5.455648,-5.6796074,-3.8768628,-5.221152,-5.408276,-4.9560165,-3.5726647,-5.099291,-6.138293,-5.797372,-5.394381,-5.2691555,-4.8579507,-5.372426,-4.345463,-6.1224756,-5.064806,-4.6942983,-5.378046,-3.6548808,-5.2562156,-5.7923036,-5.399987,-5.5026875,-5.3828435,-5.6447225,-5.2103987,-4.6390953,-5.1844463,-4.135912,-5.8627987,-6.3296757,-6.2008,-5.1595745,-4.846042,-5.2430353,-4.117346,-5.025822,-3.9052553,0.72570455,-4.862446,-4.91161,-4.839622,-3.9467242,-4.3223176,-3.8664596,-3.4223015,-3.7091007,-5.5045605,-5.7023306,-5.1256337,-5.5219893,-5.876435,-6.007522,-3.995532,58
About company,Current,Fee,Our srevic is free to use and won't charge any from you. We charge a small service fee from our platform companies. ,Will you pay me after I have to use your service?,-4.690831,-5.3289833,-3.672423,-5.0068264,-4.816624,-4.7025895,-5.545778,-4.740478,-4.775203,-5.353939,-3.6088586,-4.385318,-4.502339,-3.6017783,-4.6808467,-4.8851423,-5.199909,0.7405875,-5.6162558,-5.3140435,-4.4751415,-4.524008,-5.651725,-5.838931,-4.1042194,-4.4620757,-4.3807445,-4.7578177,-4.33828,-5.953267,-4.3459044,-4.174308,-4.9454083,-4.7425027,-5.2321277,-4.564903,-3.2069585,-4.116054,-5.221496,-4.713034,-5.5568266,-5.2749443,-4.254259,-5.1388783,-4.8167863,-4.6080604,-5.1601043,-5.4168506,-5.494749,-5.4846263,-6.1885953,-5.348524,-5.197792,-5.1202416,-4.741307,-5.164762,-5.489822,-5.0038157,-5.0177617,-5.3033304,-5.405511,-5.775856,-5.098235,-4.6340485,-4.7086263,-4.367134,-5.5217032,-4.51831,-5.044081,-5.2605047,-5.4746146,-3.8107717,-5.524827,-5.9195623,17
About Business Component,Overall,Service_Summary,"We provide a 1-stop straight through processing solution for you to handle your forms starting from finding the right form, delete duplicated fields, signing the form ad submit the forms.",I want to find out more about the service you offer.,-4.351551,-3.5192778,-5.0102124,-5.517019,-4.7667756,-5.66246,-5.5579405,-6.0564537,-5.9886713,-5.940551,-5.8066616,-4.3427896,-4.974577,-5.810484,-4.647189,-4.8832498,-4.9701285,-4.994216,-4.8592353,-3.9449914,-5.595151,-5.6949596,-5.6022186,-5.4958615,-4.927413,-4.213767,-5.382966,-5.772723,-6.2478952,-5.450294,-4.276552,-4.319345,-5.624398,-4.142294,-5.649856,-4.629691,-5.2458806,-6.2421865,0.7914381,-5.032479,-4.539337,-5.5970607,-4.552662,-5.0538416,-5.7636666,-5.7018642,-4.6823683,-4.569036,-5.515443,-5.6110168,-5.413047,-4.502822,-4.7282176,-4.576054,-4.7884736,-5.6972475,-5.0650396,-5.1360683,-3.7528708,-5.4326706,-6.175266,-5.6607294,-5.4461627,-3.766266,-4.4554768,-4.1895394,-5.868365,-5.634388,-6.0968904,-5.6478252,-5.6383505,-3.7516873,-5.9770837,-3.371619,38
About Techology,Data Security & Privacy,data_storage_time,"We will store data until we recieve instruction to delete it, or 7 years has passed without any user acitivity. ",Would you delete my information after not log in for a period of time?,-5.854894,-6.1562657,-5.614186,-4.13833,-5.20306,-4.8237743,-4.018162,-4.1313033,0.8672601,-5.171952,-4.037767,-5.0360274,-4.117927,-4.4593563,-5.912316,-5.0466747,-4.8615303,-4.728252,-5.57907,-5.8482757,-4.690736,-4.1232605,-3.7333417,-4.638952,-5.6168594,-5.3894277,-4.452155,-5.0824485,-4.1513076,-6.0281878,-5.1401324,-5.560761,-5.2622533,-5.3067384,-6.228934,-5.430951,-5.1194596,-3.3776577,-6.1562076,-5.566211,-6.572839,-5.339785,-6.365288,-5.1347427,-4.9537325,-5.5451026,-5.9460297,-4.7379255,-5.4946976,-5.919682,-5.029618,-5.054232,-5.4310527,-5.4471545,-5.0387573,-4.7384653,-5.2143645,-4.4841557,-5.011015,-4.6462455,-4.644027,-4.9189,-5.2485747,-5.2240705,-5.3865166,-6.0576444,-4.694459,-5.127606,-5.2433715,-5.048141,-4.574857,-5.7564216,-5.1586313,-5.597334,8
About Techology,Form recognizer,Form_recognizer_camera_not_working,Please ensure that your device allow us to utilise your camera. You can set it up in your device setting.,I cannot get the form-recogniser to work.,-4.4405255,-5.8287406,-6.5694695,-5.633053,-5.4407115,-5.570519,-4.7229376,-4.05295,-4.5617843,-4.4534874,-5.2368536,-5.347149,-4.223215,-5.3065763,-5.6047535,-5.9386873,-5.46617,-6.198474,-4.5179505,-5.7892776,-5.5554276,-4.941809,-4.2807994,-5.7257695,-5.7804995,-5.7805166,-5.8946424,-4.091446,-5.0113215,-5.245809,-4.49869,-6.036324,-4.6295176,-6.031657,-5.160818,-6.088032,-6.2648306,-5.2002506,-5.280614,-4.6588974,-6.3060536,-6.1477814,-4.9087243,-5.3168635,-5.2397203,-4.97974,-4.376552,-5.422758,-6.00021,-4.2192297,-4.844838,-5.0747776,-5.3587866,-5.6323304,-5.6387496,-5.564046,-4.9039464,-6.172151,-5.0117645,-3.6244478,-2.6775794,0.72657305,-4.9732313,-5.5486064,-5.5902233,-6.2224164,-4.4435287,-6.004131,-4.3094835,-3.3741717,-3.123926,-6.066903,-5.6545515,-5.4135895,61
About the team,Our Team,Team,We are a team of 6 XXXXXXX. (More on people side),"So, what is your team composition?",-4.643243,-3.693403,-3.9363236,-5.860997,-5.497165,-4.7802486,-5.068325,-5.6271067,-5.9848146,-4.8466434,-5.611916,-4.952816,-5.56891,-4.641436,-4.5257173,-4.4108024,-4.9750457,-5.4494705,-3.4794178,-4.6724296,-5.4121695,-5.845108,-6.4891567,-5.4823174,-4.4359975,-5.31968,-4.8317227,-6.1752286,-5.387181,-3.6199346,-5.744648,-4.4437056,-5.3159537,-4.6239033,-3.816235,-4.514732,-5.4733763,-6.5476336,-4.759242,-4.9807367,0.84784347,-4.306292,-3.396422,-4.0792904,-4.5482283,-4.7025766,-4.214545,-3.1429975,-4.7747254,-4.8183107,-5.4940777,-4.0603247,-4.3742795,-5.179493,-4.197139,-5.1154313,-4.50828,-4.7989016,-5.898766,-5.297792,-5.59421,-6.0316844,-5.104111,-4.6968226,-4.1503143,-4.2785316,-5.4534,-5.022349,-4.8758435,-4.912427,-4.982836,-4.6452823,-4.7871504,-4.0518594,40
About company,Future,Expansion,"We keep enlarging our service to new industry, new form purpose and new new geographical location. Our new mobile APP is also under development and serveal AI project are in planning to enhance our customer experience.",Will you develop an application for mobile devices too?,-4.4891624,-4.9757295,-4.855606,-4.739716,-5.8295417,-4.862102,-5.4921093,-5.4768767,-5.055702,-4.818493,-5.243747,-4.309021,-5.287008,-5.4214835,-5.7632027,-4.1375585,-4.50563,-4.8699484,-4.410845,-4.91676,-4.904413,-5.5255413,-5.0862675,-6.232741,-4.6713715,-5.032592,-5.2572455,-6.1937733,-4.334879,-5.117783,-4.605299,-4.529017,-2.249539,-5.477794,-5.237526,-3.8809507,-5.3600173,-5.8009715,-4.9737926,-3.8750358,-4.885059,-5.1746087,-5.5494742,-4.4860277,-4.829064,-5.904002,-4.7243843,-3.7422767,-5.2147555,-4.3360047,-5.605306,-4.772898,-0.123310246,-4.289351,-5.6298065,-5.6565347,-4.5195184,-5.0285797,-5.042937,-4.86022,-5.5943203,-5.239483,-5.6403384,-5.519269,-5.5821004,-5.280966,-4.8601904,-4.5356045,-5.10981,-5.1332707,-6.1059895,-5.0885816,-5.3662453,-4.898098,74
